"pct","agencies_2016","agencies_2025","value_2016","value_2025"
1,0,0,NA,NA
2,0,0,NA,NA
3,0,0,NA,NA
4,0,0,NA,NA
5,0,0,NA,NA
6,0,0,NA,NA
7,0,0,NA,NA
8,0,0,NA,NA
9,0,0,NA,NA
10,0,0,NA,NA
11,0,0,NA,NA
12,0,0,NA,NA
13,0,0,NA,NA
14,0,0,NA,NA
15,0,0,NA,NA
16,0,0,NA,NA
17,0,0,NA,NA
18,0,0,NA,NA
19,0,0,NA,NA
20,0,0,NA,NA
21,0,0,NA,NA
22,0,0,NA,NA
23,0,0,NA,NA
24,0,0,NA,NA
25,0,0,NA,NA
26,0,0,NA,NA
27,0,0,NA,NA
28,0,0,NA,NA
29,0,0,NA,NA
30,0,0,NA,NA
31,0,0,NA,NA
32,0,0,NA,NA
33,0,0,NA,NA
34,0,0,NA,NA
35,0,0,NA,NA
36,0,0,NA,NA
37,1,0,"64%",NA
38,1,0,NA,NA
39,1,0,NA,NA
40,1,0,NA,NA
41,1,0,NA,NA
42,1,0,NA,NA
43,1,0,NA,NA
44,1,0,NA,NA
45,1,0,NA,NA
46,1,0,NA,NA
47,1,0,NA,NA
48,1,2,NA,"53%"
49,1,2,NA,NA
50,1,2,NA,NA
51,1,2,NA,NA
52,1,2,NA,NA
53,1,2,NA,NA
54,1,2,NA,NA
55,1,2,NA,NA
56,1,2,NA,NA
57,1,2,NA,NA
58,1,2,NA,NA
59,1,2,NA,NA
60,1,2,NA,NA
61,1,2,NA,NA
62,1,2,NA,NA
63,1,2,NA,NA
64,1,2,NA,NA
65,1,2,NA,NA
66,1,2,NA,NA
67,1,2,NA,NA
68,1,2,NA,NA
69,1,2,NA,NA
70,1,2,NA,NA
71,1,2,NA,NA
72,1,2,NA,NA
73,1,2,NA,NA
74,1,2,NA,NA
75,1,2,NA,NA
76,1,2,NA,NA
77,1,2,NA,NA
78,1,2,NA,NA
79,1,2,NA,NA
80,1,2,NA,NA
81,1,2,NA,NA
82,1,2,NA,NA
83,1,2,NA,NA
84,1,2,NA,NA
85,1,2,NA,NA
86,1,2,NA,NA
87,1,2,NA,NA
88,1,2,NA,NA
89,1,2,NA,NA
90,1,2,NA,NA
91,1,2,NA,NA
92,1,2,NA,NA
93,1,2,NA,NA
94,1,2,NA,NA
95,1,2,NA,NA
96,1,2,NA,NA
97,1,2,NA,NA
98,1,2,NA,NA
99,1,2,NA,NA
100,1,2,NA,NA
